NPTREF,SMSREF,GPSLAT,GPSLON,GMGRFE,GMGRFN,RSTNAM,MAINRD,SIDEST,NETTYP,GAZREF,NETWRF
9100ALTRNHM,,53.387668,-2.347158,377008,387924,ALTRINCHAM INTERCHANGE,STAMFORD NEW RD,MOSS LANE,R,E0028261,SJR032
9100ARDWICK,,53.471206,-2.213369,385934,397183,ARDWICK,DEVONSHIRE ST N,BLIND LANE,R,E0028484,EBR116
9100ASHBRYS,,53.471867,-2.194752,387150,397253,ASHBURYS,POTTERY LANE,JARMAIN STREET,R,N0074883,EBR115
9100ASHONUL,,53.491279,-2.094327,393839,399399,ASHTON UNDER LYNE,SACKVILLE ST,TURNER LANE,R,E0028492,EHR101
9100ATHERTN,,53.529109,-2.477990,368412,403710,ATHERTON,UPTON ROAD,BOLTON ROAD,R,E0028727,WKR069
9100BAGE,,53.421964,-2.215229,385794,391705,BURNAGE,FOG LANE,KINGSWAY,R,E0028653,EBR120
9100BLLVUE,,53.461787,-2.180187,388134,396129,BELLE VUE,HYDE ROAD,GLENCASTLE ROAD,R,E0028538,EBR113
9100BLRD,,53.591184,-2.569805,362381,410661,BLACKROD,STATION ROAD,BLACKROD BYPASS,R,E0052666,WAR011
9100BMHL,,53.360557,-2.163021,389248,384864,BRAMHALL,BRAMHALL LA STH,HARTINGTON ROAD,R,E0028595,SGR089
9100BOLTON,,53.573558,-2.425152,371944,408633,BOLTON INTERCHANGE,TRINITY STREET,NEWPORT STREET,R,E0057777,WAR055
9100BRBM,,53.440791,-2.016625,398993,393778,BROADBOTTOM,MOTTRAM ROAD,MOSS LANE,R,E0028610,EHR027
9100BREDBRY,,53.423069,-2.110546,392751,391812,BREDBURY,STOCKPORT RD E,WEYBOURNE DRIVE,R,E0028600,SGR087
9100BRMCRSS,,53.613984,-2.410730,372925,413125,BROMLEY CROSS,CHAPELTOWN ROAD,SHADY LANE,R,E0028618,WAR018
9100BRNGTN,,53.431953,-2.134094,391188,392803,BRINNINGTON,THE LINK,MIDDLESEX ROAD,R,E0028605,SGR086
9100BRYN,,53.499644,-2.647723,357131,400521,BRYN,WHITLEDGE ROAD,SALISBURY ROAD,R,E0028641,WKR072
9100CHASNRD,,53.446192,-2.368172,375644,394442,CHASSEN ROAD,CHASSEN ROAD,BALMORAL AVENUE,R,E0028410,SJR036
9100CHDH,,53.376277,-2.188078,387574,386597,CHEADLE HULME,STATION ROAD,OP MELLOR ROAD,R,E0028700,SGR096
9100CLTN,,53.522246,-2.313974,379281,402886,CLIFTON,LUMN'S LANE,RAKE LANE,R,N0074946,WFR009
9100CSTL,,53.592167,-2.178128,388307,410634,CASTLETON,MANCHESTER ROAD,RAILWAY APP,R,E0028690,NER054
9100DAISYH,,53.539371,-2.515317,365946,404869,DAISY HILL,LEIGH ROAD,MABEL STREET,R,E0028309,WAR070
